iter	Passed	Remaining
890	3225	394
891	3227	390
892	3230	387
893	3233	383
894	3237	379
895	3240	376
896	3243	372
897	3246	368
898	3249	365
899	3252	361
900	3255	357
901	3258	354
902	3262	350
903	3264	346
904	3268	343
905	3271	339
906	3274	335
907	3277	332
908	3279	328
909	3283	324
910	3286	321
911	3289	317
912	3292	313
913	3294	310
914	3297	306
915	3301	302
916	3304	299
917	3307	295
918	3309	291
919	3312	288
920	3315	284
921	3319	280
922	3322	277
923	3324	273
924	3327	269
925	3330	266
926	3333	262
927	3336	258
928	3339	255
929	3342	251
930	3345	247
931	3348	244
932	3351	240
933	3354	237
934	3357	233
935	3359	229
936	3362	226
937	3366	222
938	3370	218
939	3374	215
940	3377	211
941	3381	208
942	3384	204
943	3387	200
944	3390	197
945	3393	193
946	3396	190
947	3399	186
948	3402	182
949	3405	179
950	3408	175
951	3411	171
952	3414	168
953	3418	164
954	3421	161
955	3423	157
956	3426	153
957	3430	150
958	3433	146
959	3436	143
960	3438	139
961	3441	135
962	3445	132
963	3448	128
964	3451	125
965	3453	121
966	3456	117
967	3459	114
968	3462	110
969	3466	107
970	3468	103
971	3471	100
972	3474	96
973	3477	92
974	3480	89
975	3483	85
976	3485	82
977	3488	78
978	3491	74
979	3494	71
980	3497	67
981	3500	64
982	3502	60
983	3505	57
984	3508	53
985	3511	49
986	3514	46
987	3517	42
988	3519	39
989	3522	35
990	3526	32
991	3528	28
992	3531	24
993	3534	21
994	3536	17
995	3539	14
996	3543	10
997	3546	7
998	3549	3
999	3551	0
